ticket_id,opened_datetime,closed_datetime,system_name,issue_type,severity,facility_id,meter_id,reported_by_team,ticket_status,business_impact,root_cause_category,resolution_summary,related_batch_id,related_exception_code
TCK-000111,2026-05-15T00:30:00,2026-05-15T02:30:00,FlowCalSim,Polling Outage,Medium,FAC-023,MTR-114,Measurement,Closed,Pipeline health alert,Measurement Approval,Documented workaround and escalation path,BATCH-20260515-00,NULL_VOLUME
TCK-000112,2026-04-13T02:20:00,2026-04-16T03:20:00,BigQuery,Duplicate Records,Low,FAC-022,MTR-107,BI Reporting,Closed,Potential measurement close impact,Source Data,Waiting on source system refresh,BATCH-20260413-02,
TCK-000113,2026-05-30T01:58:00,,MeterFlow IQ,Invalid Quality Code,High,FAC-006,MTR-030,BI Reporting,New,User unable to validate volume,Report Logic,Documented workaround and escalation path,BATCH-20260530-01,NULL_VOLUME
TCK-000114,2026-04-14T06:51:00,,Snowflake,Polling Outage,Medium,FAC-004,MTR-019,Field Ops,New,Dashboard value mismatch,Measurement Approval,Documented workaround and escalation path,BATCH-20260414-06,LATE_ARRIVAL
TCK-000115,2026-05-02T03:42:00,,SimulatedSCADA,Missing Measurement Data,Low,FAC-016,MTR-076,Field Ops,Investigating,User unable to validate volume,ETL / Pipeline,Validated source-to-target counts,BATCH-20260502-03,DUPLICATE_READING
TCK-000116,2026-05-30T16:16:00,2026-06-01T05:16:00,Azure SQL,BI Report Mismatch,Medium,FAC-024,MTR-116,Application Support,Closed,Dashboard value mismatch,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260530-16,
TCK-000117,2026-05-27T09:28:00,2026-05-30T17:28:00,MeterFlow IQ,Polling Outage,Medium,FAC-012,MTR-060,Measurement,Closed,Dashboard value mismatch,Measurement Approval,Validated source-to-target counts,BATCH-20260527-09,
TCK-000118,2026-05-13T12:19:00,2026-05-15T10:19:00,Azure SQL,Incorrect Facility Mapping,Low,FAC-019,MTR-094,Measurement,Closed,Report output delayed,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260513-12,DUPLICATE_READING
TCK-000119,2026-05-17T16:43:00,,MeterFlow IQ,Late Data Arrival,Medium,FAC-008,MTR-040,Application Support,Investigating,Report output delayed,Report Logic,Closed after successful rerun,BATCH-20260517-16,STALE_READING
TCK-000120,2026-05-28T10:23:00,,BigQuery,Invalid Quality Code,High,FAC-020,MTR-098,BI Reporting,New,Pipeline health alert,Report Logic,Documented workaround and escalation path,BATCH-20260528-10,LATE_ARRIVAL
TCK-000121,2026-04-17T23:40:00,2026-04-21T04:40:00,BigQuery,Missing Measurement Data,High,FAC-020,MTR-099,Commercial,Resolved,Pipeline health alert,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260417-23,MISSING_ASSET
TCK-000122,2026-05-01T21:39:00,2026-05-03T10:39:00,Streamlit,Duplicate Records,Medium,FAC-009,MTR-041,BI Reporting,Closed,User unable to validate volume,User Workflow,Waiting on source system refresh,BATCH-20260501-21,LATE_ARRIVAL
TCK-000123,2026-04-04T17:26:00,2026-04-05T11:26:00,SimulatedSCADA,User Access Issue,Low,FAC-003,MTR-011,Application Support,Resolved,Report output delayed,Report Logic,Waiting on source system refresh,BATCH-20260404-17,ZERO_VOLUME
TCK-000124,2026-05-19T14:05:00,2026-05-20T23:05:00,SimulatedSCADA,Invalid Quality Code,Low,FAC-025,MTR-124,BI Reporting,Closed,Pipeline health alert,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260519-14,MISSING_ASSET
TCK-000125,2026-04-10T07:29:00,2026-04-10T17:29:00,BigQuery,User Access Issue,Medium,FAC-008,MTR-038,Operations,Resolved,Pipeline health alert,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260410-07,ZERO_VOLUME
TCK-000126,2026-05-25T23:24:00,,Snowflake,User Access Issue,Medium,FAC-009,MTR-043,Measurement,Waiting on Source Team,User unable to validate volume,Source Data,Validated source-to-target counts,BATCH-20260525-23,NULL_VOLUME
TCK-000127,2026-05-16T09:34:00,2026-05-19T12:34:00,MeterFlow IQ,Duplicate Records,Medium,FAC-019,MTR-095,Commercial,Closed,Dashboard value mismatch,User Workflow,Closed after successful rerun,BATCH-20260516-09,MISSING_ASSET
TCK-000128,2026-04-07T03:31:00,,Streamlit,User Access Issue,Medium,FAC-010,MTR-050,BI Reporting,Investigating,User unable to validate volume,Polling Platform,Validated source-to-target counts,BATCH-20260407-03,ZERO_VOLUME
TCK-000129,2026-05-09T06:17:00,2026-05-10T13:17:00,SimulatedSCADA,Duplicate Records,High,FAC-016,MTR-080,Measurement,Closed,User unable to validate volume,User Workflow,Documented workaround and escalation path,BATCH-20260509-06,PIPELINE_FAILED
TCK-000130,2026-04-08T19:01:00,,Snowflake,Polling Outage,Medium,FAC-003,MTR-012,Commercial,Waiting on Source Team,User unable to validate volume,Source Data,Documented workaround and escalation path,BATCH-20260408-19,PIPELINE_FAILED
TCK-000131,2026-05-24T17:29:00,2026-05-28T04:29:00,FlowCalSim,Late Data Arrival,High,FAC-009,MTR-044,Commercial,Closed,Dashboard value mismatch,Report Logic,Waiting on source system refresh,BATCH-20260524-17,MISSING_ASSET
TCK-000132,2026-05-20T11:47:00,2026-05-24T01:47:00,SimulatedSCADA,User Access Issue,Low,FAC-019,MTR-093,Operations,Closed,Potential measurement close impact,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260520-11,MISSING_ASSET
TCK-000133,2026-04-14T14:18:00,2026-04-15T15:18:00,Snowflake,Failed Pipeline Job,Critical,FAC-020,MTR-100,Application Support,Resolved,User unable to validate volume,User Workflow,Closed after successful rerun,BATCH-20260414-14,STALE_READING
TCK-000134,2026-04-05T15:41:00,,Streamlit,Incorrect Facility Mapping,Medium,FAC-002,MTR-008,Measurement,Investigating,Dashboard value mismatch,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260405-15,NULL_VOLUME
TCK-000135,2026-05-04T11:17:00,,Azure SQL,Polling Outage,Medium,FAC-003,MTR-011,BI Reporting,Investigating,Dashboard value mismatch,Access / Security,Documented workaround and escalation path,BATCH-20260504-11,
TCK-000136,2026-04-06T09:13:00,,FlowCalSim,Invalid Quality Code,Medium,FAC-025,MTR-123,Measurement,Waiting on Source Team,Report output delayed,Measurement Approval,Closed after successful rerun,BATCH-20260406-09,PIPELINE_FAILED
TCK-000137,2026-04-15T22:06:00,,Snowflake,User Access Issue,Medium,FAC-015,MTR-072,Application Support,Investigating,Pipeline health alert,User Workflow,Closed after successful rerun,BATCH-20260415-22,DUPLICATE_READING
TCK-000138,2026-05-07T08:45:00,2026-05-10T11:45:00,MeterFlow IQ,BI Report Mismatch,Low,FAC-016,MTR-080,Commercial,Resolved,Potential measurement close impact,ETL / Pipeline,Validated source-to-target counts,BATCH-20260507-08,ZERO_VOLUME
TCK-000139,2026-05-04T03:25:00,2026-05-07T03:25:00,FlowCalSim,Polling Outage,Medium,FAC-005,MTR-021,Field Ops,Resolved,Report output delayed,Report Logic,Documented workaround and escalation path,BATCH-20260504-03,NULL_VOLUME
TCK-000140,2026-05-10T18:20:00,2026-05-10T20:20:00,Snowflake,Missing Measurement Data,Medium,FAC-025,MTR-125,Measurement,Closed,Pipeline health alert,Access / Security,Waiting on source system refresh,BATCH-20260510-18,
TCK-000141,2026-05-07T10:59:00,2026-05-09T04:59:00,Azure SQL,FlowCal Exception,Critical,FAC-023,MTR-114,BI Reporting,Resolved,Dashboard value mismatch,Reference Data,Documented workaround and escalation path,BATCH-20260507-10,LATE_ARRIVAL
TCK-000142,2026-04-04T01:33:00,2026-04-05T23:33:00,MeterFlow IQ,Polling Outage,Medium,FAC-015,MTR-072,BI Reporting,Resolved,User unable to validate volume,User Workflow,Documented workaround and escalation path,BATCH-20260404-01,
TCK-000143,2026-05-13T17:42:00,,Snowflake,FlowCal Exception,Low,FAC-017,MTR-081,Commercial,Waiting on Source Team,Report output delayed,Reference Data,Validated source-to-target counts,BATCH-20260513-17,PIPELINE_FAILED
TCK-000144,2026-04-15T09:50:00,2026-04-18T06:50:00,MeterFlow IQ,User Access Issue,Medium,FAC-024,MTR-118,Field Ops,Resolved,Report output delayed,Report Logic,Reviewed mapping and confirmed correction,BATCH-20260415-09,DUPLICATE_READING
TCK-000145,2026-05-17T09:42:00,,Snowflake,BI Report Mismatch,Low,FAC-002,MTR-007,Commercial,Investigating,User unable to validate volume,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260517-09,MISSING_ASSET
TCK-000146,2026-04-16T05:16:00,2026-04-19T00:16:00,BigQuery,Incorrect Facility Mapping,Critical,FAC-011,MTR-051,Application Support,Closed,User unable to validate volume,User Workflow,Validated source-to-target counts,BATCH-20260416-05,MISSING_ASSET
TCK-000147,2026-05-22T19:30:00,,FlowCalSim,FlowCal Exception,High,FAC-017,MTR-085,BI Reporting,Investigating,Report output delayed,ETL / Pipeline,Waiting on source system refresh,BATCH-20260522-19,LATE_ARRIVAL
TCK-000148,2026-04-23T17:33:00,2026-04-27T14:33:00,Azure SQL,BI Report Mismatch,High,FAC-011,MTR-055,BI Reporting,Resolved,Dashboard value mismatch,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260423-17,LATE_ARRIVAL
TCK-000149,2026-04-13T02:19:00,2026-04-16T07:19:00,BigQuery,FlowCal Exception,Medium,FAC-008,MTR-036,Operations,Closed,Potential measurement close impact,Reference Data,Waiting on source system refresh,BATCH-20260413-02,
TCK-000150,2026-05-02T08:55:00,2026-05-05T07:55:00,Streamlit,Polling Outage,Low,FAC-023,MTR-113,Measurement,Closed,User unable to validate volume,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260502-08,MISSING_ASSET
TCK-000151,2026-05-20T06:07:00,,SimulatedSCADA,FlowCal Exception,Critical,FAC-007,MTR-033,Field Ops,Waiting on Source Team,User unable to validate volume,Source Data,Reviewed mapping and confirmed correction,BATCH-20260520-06,MISSING_ASSET
TCK-000152,2026-04-15T04:51:00,2026-04-16T17:51:00,SimulatedSCADA,Missing Measurement Data,High,FAC-001,MTR-001,Field Ops,Resolved,User unable to validate volume,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260415-04,PIPELINE_FAILED
TCK-000153,2026-05-30T13:36:00,2026-06-02T00:36:00,Snowflake,BI Report Mismatch,Medium,FAC-011,MTR-051,Measurement,Resolved,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260530-13,LATE_ARRIVAL
TCK-000154,2026-04-20T12:29:00,2026-04-23T07:29:00,BigQuery,Invalid Quality Code,High,FAC-024,MTR-118,Commercial,Resolved,Report output delayed,Source Data,Waiting on source system refresh,BATCH-20260420-12,PIPELINE_FAILED
TCK-000155,2026-05-09T07:10:00,,Azure SQL,FlowCal Exception,Critical,FAC-023,MTR-112,Application Support,Investigating,Pipeline health alert,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260509-07,ZERO_VOLUME
TCK-000156,2026-04-26T15:23:00,2026-04-28T06:23:00,BigQuery,FlowCal Exception,Low,FAC-021,MTR-103,BI Reporting,Closed,Report output delayed,Polling Platform,Waiting on source system refresh,BATCH-20260426-15,ZERO_VOLUME
TCK-000157,2026-05-25T07:33:00,2026-05-27T02:33:00,SimulatedSCADA,Duplicate Records,Medium,FAC-013,MTR-061,Field Ops,Closed,User unable to validate volume,Reference Data,Closed after successful rerun,BATCH-20260525-07,DUPLICATE_READING
TCK-000158,2026-05-30T17:40:00,2026-06-02T16:40:00,BigQuery,BI Report Mismatch,High,FAC-004,MTR-018,Field Ops,Resolved,Potential measurement close impact,Access / Security,Waiting on source system refresh,BATCH-20260530-17,NULL_VOLUME
TCK-000159,2026-04-11T23:08:00,2026-04-15T11:08:00,Snowflake,Missing Measurement Data,High,FAC-003,MTR-014,Measurement,Resolved,Report output delayed,ETL / Pipeline,Validated source-to-target counts,BATCH-20260411-23,ZERO_VOLUME
TCK-000160,2026-05-29T11:47:00,2026-05-30T16:47:00,FlowCalSim,Failed Pipeline Job,Low,FAC-002,MTR-007,Measurement,Resolved,Pipeline health alert,Access / Security,Validated source-to-target counts,BATCH-20260529-11,ZERO_VOLUME
TCK-000161,2026-05-11T03:34:00,,MeterFlow IQ,Failed Pipeline Job,Medium,FAC-005,MTR-022,Field Ops,Investigating,Pipeline health alert,User Workflow,Documented workaround and escalation path,BATCH-20260511-03,STALE_READING
TCK-000162,2026-05-26T19:16:00,,FlowCalSim,Invalid Quality Code,Medium,FAC-005,MTR-024,Measurement,New,Report output delayed,Reference Data,Documented workaround and escalation path,BATCH-20260526-19,PIPELINE_FAILED
TCK-000163,2026-04-27T02:35:00,2026-04-28T07:35:00,FlowCalSim,Invalid Quality Code,High,FAC-003,MTR-011,BI Reporting,Closed,Pipeline health alert,Measurement Approval,Waiting on source system refresh,BATCH-20260427-02,MISSING_ASSET
TCK-000164,2026-04-05T12:49:00,2026-04-08T17:49:00,Snowflake,FlowCal Exception,Low,FAC-023,MTR-114,Measurement,Resolved,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260405-12,PIPELINE_FAILED
TCK-000165,2026-04-21T23:47:00,,Streamlit,Duplicate Records,Medium,FAC-022,MTR-109,Operations,New,User unable to validate volume,Measurement Approval,Waiting on source system refresh,BATCH-20260421-23,MISSING_ASSET
TCK-000166,2026-04-01T02:07:00,,Snowflake,FlowCal Exception,Medium,FAC-013,MTR-064,Application Support,Investigating,Report output delayed,Polling Platform,Closed after successful rerun,BATCH-20260401-02,DUPLICATE_READING
TCK-000167,2026-05-11T21:51:00,2026-05-13T00:51:00,Streamlit,Duplicate Records,Medium,FAC-010,MTR-046,Commercial,Closed,Pipeline health alert,Reference Data,Validated source-to-target counts,BATCH-20260511-21,PIPELINE_FAILED
TCK-000168,2026-04-03T17:07:00,2026-04-06T10:07:00,Azure SQL,Polling Outage,Critical,FAC-011,MTR-052,Commercial,Resolved,Dashboard value mismatch,Source Data,Documented workaround and escalation path,BATCH-20260403-17,ZERO_VOLUME
TCK-000169,2026-04-14T01:59:00,2026-04-17T01:59:00,Snowflake,Late Data Arrival,Medium,FAC-016,MTR-078,Measurement,Resolved,Report output delayed,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260414-01,
TCK-000170,2026-05-19T01:20:00,2026-05-21T06:20:00,Streamlit,Duplicate Records,Medium,FAC-022,MTR-107,Measurement,Resolved,Dashboard value mismatch,ETL / Pipeline,Validated source-to-target counts,BATCH-20260519-01,DUPLICATE_READING
TCK-000171,2026-05-16T05:07:00,2026-05-19T16:07:00,Azure SQL,Incorrect Facility Mapping,Low,FAC-016,MTR-077,Application Support,Closed,User unable to validate volume,Measurement Approval,Closed after successful rerun,BATCH-20260516-05,PIPELINE_FAILED
TCK-000172,2026-05-12T20:29:00,,Streamlit,BI Report Mismatch,High,FAC-013,MTR-064,Measurement,Investigating,User unable to validate volume,Measurement Approval,Waiting on source system refresh,BATCH-20260512-20,MISSING_ASSET
TCK-000173,2026-05-27T17:24:00,,Streamlit,BI Report Mismatch,Medium,FAC-009,MTR-043,Operations,Waiting on Source Team,Pipeline health alert,Source Data,Closed after successful rerun,BATCH-20260527-17,LATE_ARRIVAL
TCK-000174,2026-04-10T21:41:00,,Streamlit,Incorrect Facility Mapping,Low,FAC-016,MTR-077,Measurement,Waiting on Source Team,Potential measurement close impact,Reference Data,Closed after successful rerun,BATCH-20260410-21,ZERO_VOLUME
TCK-000175,2026-04-27T17:20:00,,Azure SQL,BI Report Mismatch,Medium,FAC-021,MTR-104,BI Reporting,Waiting on Source Team,Report output delayed,Report Logic,Documented workaround and escalation path,BATCH-20260427-17,DUPLICATE_READING
TCK-000176,2026-04-13T09:32:00,2026-04-15T16:32:00,MeterFlow IQ,User Access Issue,Medium,FAC-018,MTR-088,Operations,Closed,Potential measurement close impact,Polling Platform,Closed after successful rerun,BATCH-20260413-09,MISSING_ASSET
TCK-000177,2026-05-13T04:46:00,2026-05-13T13:46:00,Snowflake,User Access Issue,High,FAC-003,MTR-011,Field Ops,Resolved,Report output delayed,Access / Security,Validated source-to-target counts,BATCH-20260513-04,MISSING_ASSET
TCK-000178,2026-04-24T14:55:00,2026-04-28T03:55:00,Snowflake,Incorrect Facility Mapping,High,FAC-019,MTR-095,BI Reporting,Resolved,User unable to validate volume,Polling Platform,Closed after successful rerun,BATCH-20260424-14,STALE_READING
TCK-000179,2026-04-28T07:07:00,2026-04-29T15:07:00,SimulatedSCADA,User Access Issue,Critical,FAC-010,MTR-047,BI Reporting,Resolved,User unable to validate volume,Measurement Approval,Closed after successful rerun,BATCH-20260428-07,STALE_READING
TCK-000180,2026-04-26T05:01:00,2026-04-29T12:01:00,Streamlit,User Access Issue,High,FAC-013,MTR-064,Commercial,Resolved,Potential measurement close impact,Access / Security,Validated source-to-target counts,BATCH-20260426-05,NULL_VOLUME
TCK-000181,2026-04-02T20:03:00,2026-04-03T23:03:00,Streamlit,Late Data Arrival,Medium,FAC-024,MTR-120,Measurement,Closed,Dashboard value mismatch,Polling Platform,Validated source-to-target counts,BATCH-20260402-20,
TCK-000182,2026-04-02T03:20:00,2026-04-03T07:20:00,SimulatedSCADA,Failed Pipeline Job,Medium,FAC-002,MTR-008,BI Reporting,Closed,Potential measurement close impact,Report Logic,Closed after successful rerun,BATCH-20260402-03,ZERO_VOLUME
TCK-000183,2026-05-07T11:56:00,2026-05-07T20:56:00,Azure SQL,Polling Outage,High,FAC-019,MTR-092,Measurement,Closed,Dashboard value mismatch,Source Data,Closed after successful rerun,BATCH-20260507-11,
TCK-000184,2026-04-19T05:59:00,2026-04-21T23:59:00,BigQuery,Missing Measurement Data,Low,FAC-015,MTR-074,Application Support,Resolved,User unable to validate volume,ETL / Pipeline,Waiting on source system refresh,BATCH-20260419-05,DUPLICATE_READING
TCK-000185,2026-04-12T01:49:00,2026-04-14T03:49:00,MeterFlow IQ,Failed Pipeline Job,Medium,FAC-016,MTR-076,Application Support,Resolved,Pipeline health alert,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260412-01,ZERO_VOLUME
TCK-000186,2026-04-30T20:20:00,2026-05-03T09:20:00,BigQuery,Duplicate Records,Critical,FAC-019,MTR-092,BI Reporting,Resolved,User unable to validate volume,User Workflow,Validated source-to-target counts,BATCH-20260430-20,DUPLICATE_READING
TCK-000187,2026-04-04T17:30:00,2026-04-07T19:30:00,FlowCalSim,Late Data Arrival,Low,FAC-006,MTR-027,Operations,Closed,Pipeline health alert,Source Data,Waiting on source system refresh,BATCH-20260404-17,STALE_READING
TCK-000188,2026-04-27T07:28:00,2026-04-30T11:28:00,MeterFlow IQ,Incorrect Facility Mapping,Medium,FAC-025,MTR-122,Measurement,Closed,Potential measurement close impact,ETL / Pipeline,Waiting on source system refresh,BATCH-20260427-07,
TCK-000189,2026-04-24T13:01:00,2026-04-26T23:01:00,FlowCalSim,Incorrect Facility Mapping,Low,FAC-011,MTR-055,Commercial,Resolved,Report output delayed,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260424-13,STALE_READING
TCK-000190,2026-05-14T16:38:00,2026-05-15T06:38:00,BigQuery,Invalid Quality Code,High,FAC-024,MTR-119,BI Reporting,Closed,User unable to validate volume,Reference Data,Waiting on source system refresh,BATCH-20260514-16,STALE_READING
TCK-000191,2026-04-11T13:39:00,2026-04-15T03:39:00,MeterFlow IQ,Duplicate Records,Medium,FAC-004,MTR-018,Field Ops,Resolved,User unable to validate volume,User Workflow,Waiting on source system refresh,BATCH-20260411-13,STALE_READING
TCK-000192,2026-05-30T14:21:00,2026-05-31T00:21:00,SimulatedSCADA,Polling Outage,Medium,FAC-014,MTR-067,Operations,Closed,Potential measurement close impact,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260530-14,LATE_ARRIVAL
TCK-000193,2026-05-12T18:42:00,2026-05-14T00:42:00,SimulatedSCADA,Incorrect Facility Mapping,Medium,FAC-025,MTR-122,Operations,Closed,User unable to validate volume,Report Logic,Validated source-to-target counts,BATCH-20260512-18,LATE_ARRIVAL
TCK-000194,2026-04-09T07:46:00,2026-04-11T03:46:00,FlowCalSim,FlowCal Exception,Medium,FAC-013,MTR-062,Field Ops,Resolved,Report output delayed,Access / Security,Waiting on source system refresh,BATCH-20260409-07,LATE_ARRIVAL
TCK-000195,2026-05-16T14:47:00,2026-05-20T02:47:00,BigQuery,FlowCal Exception,Critical,FAC-004,MTR-016,Operations,Closed,User unable to validate volume,Measurement Approval,Documented workaround and escalation path,BATCH-20260516-14,STALE_READING
TCK-000196,2026-05-21T10:02:00,,Azure SQL,BI Report Mismatch,High,FAC-009,MTR-043,BI Reporting,Investigating,User unable to validate volume,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260521-10,
TCK-000197,2026-04-14T15:46:00,2026-04-18T08:46:00,Streamlit,FlowCal Exception,High,FAC-025,MTR-122,Operations,Closed,User unable to validate volume,User Workflow,Documented workaround and escalation path,BATCH-20260414-15,STALE_READING
TCK-000198,2026-05-22T13:07:00,2026-05-25T10:07:00,Azure SQL,Invalid Quality Code,Medium,FAC-021,MTR-105,Commercial,Resolved,Dashboard value mismatch,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260522-13,
TCK-000199,2026-04-15T15:08:00,,FlowCalSim,Missing Measurement Data,Medium,FAC-018,MTR-086,Operations,Investigating,Report output delayed,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260415-15,PIPELINE_FAILED
TCK-000200,2026-04-14T06:17:00,2026-04-15T13:17:00,FlowCalSim,Late Data Arrival,High,FAC-023,MTR-114,Application Support,Resolved,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260414-06,LATE_ARRIVAL
TCK-000201,2026-05-20T01:12:00,,Snowflake,BI Report Mismatch,Medium,FAC-003,MTR-014,Operations,New,Report output delayed,Reference Data,Reviewed mapping and confirmed correction,BATCH-20260520-01,PIPELINE_FAILED
TCK-000202,2026-04-12T08:50:00,2026-04-15T19:50:00,MeterFlow IQ,User Access Issue,Critical,FAC-017,MTR-085,Measurement,Resolved,Pipeline health alert,Reference Data,Reviewed mapping and confirmed correction,BATCH-20260412-08,PIPELINE_FAILED
TCK-000203,2026-04-30T16:23:00,,Azure SQL,Failed Pipeline Job,Medium,FAC-011,MTR-055,Operations,Investigating,Dashboard value mismatch,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260430-16,DUPLICATE_READING
TCK-000204,2026-05-12T23:27:00,,Snowflake,Invalid Quality Code,High,FAC-005,MTR-023,Measurement,Waiting on Source Team,Dashboard value mismatch,Access / Security,Documented workaround and escalation path,BATCH-20260512-23,STALE_READING
TCK-000205,2026-04-21T20:05:00,2026-04-23T13:05:00,MeterFlow IQ,FlowCal Exception,High,FAC-006,MTR-029,BI Reporting,Closed,Potential measurement close impact,Access / Security,Closed after successful rerun,BATCH-20260421-20,LATE_ARRIVAL
TCK-000206,2026-05-23T19:44:00,2026-05-27T12:44:00,Snowflake,Failed Pipeline Job,High,FAC-021,MTR-103,BI Reporting,Resolved,User unable to validate volume,User Workflow,Validated source-to-target counts,BATCH-20260523-19,STALE_READING
TCK-000207,2026-05-06T12:11:00,2026-05-09T09:11:00,SimulatedSCADA,Missing Measurement Data,High,FAC-015,MTR-075,Field Ops,Closed,Potential measurement close impact,ETL / Pipeline,Waiting on source system refresh,BATCH-20260506-12,LATE_ARRIVAL
TCK-000208,2026-04-09T18:18:00,2026-04-10T13:18:00,BigQuery,Duplicate Records,Low,FAC-016,MTR-077,Measurement,Closed,Dashboard value mismatch,Reference Data,Closed after successful rerun,BATCH-20260409-18,DUPLICATE_READING
TCK-000209,2026-04-04T10:58:00,2026-04-04T23:58:00,Azure SQL,Incorrect Facility Mapping,High,FAC-014,MTR-068,Commercial,Resolved,Potential measurement close impact,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260404-10,
TCK-000210,2026-05-04T19:15:00,2026-05-08T06:15:00,FlowCalSim,User Access Issue,Medium,FAC-018,MTR-090,Measurement,Closed,User unable to validate volume,Report Logic,Reviewed mapping and confirmed correction,BATCH-20260504-19,STALE_READING
TCK-000211,2026-04-01T23:13:00,,Azure SQL,Invalid Quality Code,Medium,FAC-008,MTR-040,Commercial,Investigating,Dashboard value mismatch,Source Data,Reviewed mapping and confirmed correction,BATCH-20260401-23,
TCK-000212,2026-04-04T17:58:00,2026-04-07T13:58:00,Azure SQL,Late Data Arrival,Medium,FAC-004,MTR-019,Field Ops,Closed,Dashboard value mismatch,Measurement Approval,Documented workaround and escalation path,BATCH-20260404-17,NULL_VOLUME
TCK-000213,2026-05-15T03:46:00,2026-05-15T15:46:00,Streamlit,Missing Measurement Data,High,FAC-004,MTR-018,Operations,Resolved,Report output delayed,Reference Data,Validated source-to-target counts,BATCH-20260515-03,
TCK-000214,2026-05-22T07:13:00,2026-05-23T13:13:00,MeterFlow IQ,Polling Outage,High,FAC-024,MTR-120,Measurement,Closed,Report output delayed,Access / Security,Validated source-to-target counts,BATCH-20260522-07,NULL_VOLUME
TCK-000215,2026-04-15T02:27:00,,FlowCalSim,Late Data Arrival,Low,FAC-025,MTR-122,Application Support,New,Report output delayed,Polling Platform,Waiting on source system refresh,BATCH-20260415-02,STALE_READING
TCK-000216,2026-04-13T03:45:00,,Snowflake,Failed Pipeline Job,High,FAC-010,MTR-047,Application Support,Investigating,User unable to validate volume,Access / Security,Documented workaround and escalation path,BATCH-20260413-03,MISSING_ASSET
TCK-000217,2026-04-04T12:04:00,2026-04-06T07:04:00,Azure SQL,Invalid Quality Code,High,FAC-010,MTR-049,Commercial,Closed,Dashboard value mismatch,Report Logic,Closed after successful rerun,BATCH-20260404-12,MISSING_ASSET
TCK-000218,2026-04-28T02:20:00,2026-04-28T10:20:00,MeterFlow IQ,User Access Issue,Medium,FAC-007,MTR-033,Measurement,Closed,Report output delayed,User Workflow,Validated source-to-target counts,BATCH-20260428-02,STALE_READING
TCK-000219,2026-04-11T02:44:00,2026-04-11T23:44:00,Streamlit,Missing Measurement Data,High,FAC-020,MTR-099,Operations,Closed,Dashboard value mismatch,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260411-02,PIPELINE_FAILED
TCK-000220,2026-04-26T02:46:00,,Azure SQL,FlowCal Exception,Critical,FAC-015,MTR-071,Measurement,Waiting on Source Team,Report output delayed,Source Data,Closed after successful rerun,BATCH-20260426-02,STALE_READING
TCK-000221,2026-05-20T13:12:00,,MeterFlow IQ,Invalid Quality Code,High,FAC-002,MTR-010,Measurement,New,Potential measurement close impact,Polling Platform,Documented workaround and escalation path,BATCH-20260520-13,PIPELINE_FAILED
TCK-000222,2026-04-24T06:52:00,2026-04-26T03:52:00,Snowflake,Failed Pipeline Job,High,FAC-005,MTR-023,Commercial,Resolved,User unable to validate volume,Access / Security,Closed after successful rerun,BATCH-20260424-06,ZERO_VOLUME
TCK-000223,2026-04-18T20:55:00,2026-04-21T21:55:00,Streamlit,Failed Pipeline Job,Medium,FAC-013,MTR-063,Operations,Resolved,User unable to validate volume,Access / Security,Closed after successful rerun,BATCH-20260418-20,NULL_VOLUME
TCK-000224,2026-05-05T22:54:00,2026-05-08T17:54:00,Streamlit,Invalid Quality Code,Medium,FAC-016,MTR-076,Operations,Closed,Dashboard value mismatch,Measurement Approval,Closed after successful rerun,BATCH-20260505-22,MISSING_ASSET
TCK-000225,2026-05-06T11:05:00,,MeterFlow IQ,Duplicate Records,Medium,FAC-010,MTR-050,Field Ops,New,Report output delayed,Measurement Approval,Waiting on source system refresh,BATCH-20260506-11,LATE_ARRIVAL
TCK-000226,2026-04-29T16:18:00,2026-04-30T17:18:00,Streamlit,Polling Outage,High,FAC-001,MTR-005,Measurement,Resolved,Dashboard value mismatch,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260429-16,ZERO_VOLUME
